term	gene	description	ontology
GO:0000079	NonamEVm003385	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm005751	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm003111	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm008472	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm013006	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm007649	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm005143	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm002595	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm006737	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm006325	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm008046	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm007794	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm012458	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm006845	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm004920	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm006436	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm010525	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm005971	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm008902	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm004248	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm010145	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm004604	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000079	NonamEVm003861	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000082	NonamEVm000254	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm010045	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm001065	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm005751	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm003135	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm007240	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm005639	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm001714	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm001675	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm005576	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm008046	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm005521	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm008173	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm001669	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm008191	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm003685	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm010246	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm004765	G1/S transition of mitotic cell cycle	BP
GO:0000082	NonamEVm003377	G1/S transition of mitotic cell cycle	BP
GO:0000086	NonamEVm002895	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm009218	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm008472	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm005143	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm004699	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm011679	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm005576	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm000873	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm004612	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm009939	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm004591	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm006845	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm000449	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm006267	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm000216	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm004757	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm004604	G2/M transition of mitotic cell cycle	BP
GO:0000086	NonamEVm012332	G2/M transition of mitotic cell cycle	BP
GO:0000095	NonamEVm007628	S-adenosyl-L-methionine transmembrane transporter activity	MF
GO:0000096	NonamEVm003202	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm008658	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm011746	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm008945	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm009176	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm005095	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm004700	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm005984	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm006159	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm009324	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm005161	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm011960	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm005189	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm010244	sulfur amino acid metabolic process	BP
GO:0000096	NonamEVm004403	sulfur amino acid metabolic process	BP
GO:0000103	NonamEVm002918	sulfate assimilation	BP
GO:0000103	NonamEVm002672	sulfate assimilation	BP
GO:0000110	NonamEVm001578	nucleotide-excision repair factor 1 complex	CC
GO:0000118	NonamEVm000678	histone deacetylase complex	CC
GO:0000118	NonamEVm003652	histone deacetylase complex	CC
GO:0000118	NonamEVm006672	histone deacetylase complex	CC
GO:0000118	NonamEVm003266	histone deacetylase complex	CC
GO:0000118	NonamEVm007339	histone deacetylase complex	CC
GO:0000118	NonamEVm001917	histone deacetylase complex	CC
